date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:09:25	10712/10712	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2025%20Mar%202024%2023:09:25%20GMT	https://1v1.lol/robots.txt		(from )
18:09:25	7591/7591	---M-Z	200	added ('OK')	text/html	date:Mon,%2025%20Mar%202024%2009:41:58%20GMT	https://1v1.lol/	C:/My%20Web%20Sites/Insanity/1v1.lol/index.html	(from )
18:09:26	12066/12066	---M--	200	added ('OK')	text/javascript	date:Wed,%2016%20Oct%202019%2019:09:14%20GMT	https://www.gstatic.com/firebasejs/7.2.1/firebase-app.js	C:/My%20Web%20Sites/Insanity/www.gstatic.com/firebasejs/7.2.1/firebase-app.js	(from https://1v1.lol/)
18:09:26	21273/21273	---M--	200	added ('OK')	text/javascript	date:Wed,%2016%20Oct%202019%2019:09:12%20GMT	https://www.gstatic.com/firebasejs/7.2.1/firebase-analytics.js	C:/My%20Web%20Sites/Insanity/www.gstatic.com/firebasejs/7.2.1/firebase-analytics.js	(from https://1v1.lol/)
18:09:26	163454/163454	---M--	200	added ('OK')	text/javascript	date:Wed,%2016%20Oct%202019%2019:09:14%20GMT	https://www.gstatic.com/firebasejs/7.2.1/firebase-auth.js	C:/My%20Web%20Sites/Insanity/www.gstatic.com/firebasejs/7.2.1/firebase-auth.js	(from https://1v1.lol/)
18:09:27	372014/372014	---M--	200	added ('OK')	text/javascript	date:Wed,%2016%20Oct%202019%2019:09:14%20GMT	https://www.gstatic.com/firebasejs/7.2.1/firebase-firestore.js	C:/My%20Web%20Sites/Insanity/www.gstatic.com/firebasejs/7.2.1/firebase-firestore.js	(from https://1v1.lol/)
18:09:27	34580/34580	---M--	200	added ('OK')	text/javascript	date:Wed,%2016%20Oct%202019%2019:09:15%20GMT	https://www.gstatic.com/firebasejs/7.2.1/firebase-remote-config.js	C:/My%20Web%20Sites/Insanity/www.gstatic.com/firebasejs/7.2.1/firebase-remote-config.js	(from https://1v1.lol/)
18:09:27	2426/2426	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2025%20Mar%202024%2009:41:58%20GMT	https://1v1.lol/js/dependencyLoader.js?v=3	C:/My%20Web%20Sites/Insanity/1v1.lol/js/dependencyLoader30f4.js	(from https://1v1.lol/)
18:09:27	34431/34431	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Mar%202024%2009:41:58%20GMT	https://1v1.lol/img/favicon.png?v3	C:/My%20Web%20Sites/Insanity/1v1.lol/img/favicon43a0.png	(from https://1v1.lol/)
18:09:28	6750/6750	---M-Z	200	added ('OK')	text/html	date:Mon,%2025%20Mar%202024%2009:41:58%20GMT	https://1v1.lol/de	C:/My%20Web%20Sites/Insanity/1v1.lol/de.html	(from https://1v1.lol/)
18:09:28	6655/6655	---M-Z	200	added ('OK')	text/html	date:Mon,%2025%20Mar%202024%2009:41:58%20GMT	https://1v1.lol/it	C:/My%20Web%20Sites/Insanity/1v1.lol/it.html	(from https://1v1.lol/)
18:09:28	6760/6760	---M-Z	200	added ('OK')	text/html	date:Mon,%2025%20Mar%202024%2009:41:58%20GMT	https://1v1.lol/fr	C:/My%20Web%20Sites/Insanity/1v1.lol/fr.html	(from https://1v1.lol/)
18:09:28	6564/6564	---M-Z	200	added ('OK')	text/html	date:Mon,%2025%20Mar%202024%2009:41:58%20GMT	https://1v1.lol/es	C:/My%20Web%20Sites/Insanity/1v1.lol/es.html	(from https://1v1.lol/)
